pair;participant;trial;trial_id;story_id;target;correct_target;icon;index;prop;
pair14;p29;9;1;cd1;house;0;0;0;0;
pair14;p30;10;14;ep2;chair;0;0;1;1;
pair14;p29;11;11;ed3;tree;1;1;0;0;
pair14;p30;12;6;cp2;basement;0;1;1;0;
pair14;p29;13;4;cd4;countryside;0;1;0;0;
pair14;p30;14;16;ep4;painting;1;0;1;1;
pair14;p29;15;9;ed1;stairs;1;1;0;0;
pair14;p30;16;7;cp3;laboratory;0;1;0;0;
pair15;p31;1;4;cd4;countryside;0;1;0;0;
pair15;p32;2;6;cp2;basement;1;1;1;0;
pair15;p31;3;15;ep3;coathanger;1;0;1;1;
pair15;p32;4;9;ed1;stairs;1;1;0;0;
pair15;p31;5;3;cd3;mountains;0;1;0;0;
pair15;p32;6;13;ep1;window;0;1;0;0;
pair15;p31;7;7;cp3;laboratory;0;1;1;0;
pair15;p32;8;10;ed2;sofa;0;1;0;0;
pair15;p31;9;2;cd2;attic;0;1;0;0;
pair15;p32;10;16;ep4;painting;1;0;1;1;
pair15;p31;11;12;ed4;carpet;1;1;1;0;
pair15;p32;12;5;cp1;room;0;1;0;0;
pair15;p31;13;1;cd1;house;0;1;1;0;
pair15;p32;14;8;cp4;city;0;1;0;0;
pair15;p31;15;14;ep2;chair;1;0;1;1;
pair15;p32;16;11;ed3;tree;0;1;0;0;
pair16;p33;1;13;ep1;window;1;0;1;1;
pair16;p34;2;4;cd4;countryside;1;1;1;0;
pair16;p33;3;11;ed3;tree;0;0;1;1;
pair16;p34;4;6;cp2;basement;0;1;1;0;
pair16;p33;5;14;ep2;chair;1;0;1;1;
pair16;p34;6;12;ed4;carpet;0;1;0;0;
pair16;p33;7;5;cp1;room;0;0;1;1;
pair16;p34;8;3;cd3;mountains;0;1;1;0;
pair16;p33;9;16;ep4;painting;1;0;1;1;
pair16;p34;10;9;ed1;stairs;0;1;0;0;
pair16;p33;11;8;cp4;city;0;1;1;0;
pair16;p34;12;2;cd2;attic;0;1;1;0;
pair16;p33;13;15;ep3;coathanger;1;0;1;1;
pair16;p34;14;7;cp3;laboratory;0;1;0;0;
pair16;p33;15;10;ed2;sofa;1;0;1;1;
pair16;p34;16;1;cd1;house;0;0;0;0;
pair17;p35;1;14;ep2;chair;1;0;1;1;
pair17;p36;2;7;cp3;laboratory;0;0;0;0;
pair17;p35;3;9;ed1;stairs;0;1;0;0;
pair17;p36;4;4;cd4;countryside;0;1;0;0;
pair17;p35;5;15;ep3;coathanger;1;0;1;1;
pair17;p36;6;8;cp4;city;0;0;0;0;
pair17;p35;7;12;ed4;carpet;0;1;0;0;
pair17;p36;8;1;cd1;house;0;1;0;0;
pair17;p35;9;13;ep1;window;1;1;1;0;
pair17;p36;10;10;ed2;sofa;0;0;1;1;
pair17;p35;11;6;cp2;basement;0;1;1;0;
pair17;p36;12;3;cd3;mountains;1;1;1;0;
pair17;p35;13;16;ep4;painting;1;0;1;1;
pair17;p36;14;11;ed3;tree;0;1;0;0;
pair17;p35;15;5;cp1;room;0;1;0;0;
pair17;p36;16;2;cd2;attic;1;1;1;0;
pair18;p37;1;15;ep3;coathanger;1;0;1;1;
pair18;p38;2;12;ed4;carpet;1;1;0;0;
pair18;p37;3;6;cp2;basement;0;1;0;0;
pair18;p38;4;1;cd1;house;0;1;0;0;
pair18;p37;5;16;ep4;painting;1;0;1;1;
pair18;p38;6;5;cp1;room;0;1;0;0;
pair18;p37;7;10;ed2;sofa;0;1;0;0;
pair18;p38;8;3;cd3;mountains;0;1;1;0;
pair18;p37;9;14;ep2;chair;0;0;1;1;
pair18;p38;10;11;ed3;tree;0;1;0;0;
pair18;p37;11;8;cp4;city;1;1;1;0;
pair18;p38;12;4;cd4;countryside;0;1;0;0;
pair18;p37;13;13;ep1;window;1;1;0;0;
pair18;p38;14;7;cp3;laboratory;1;1;0;0;
pair18;p37;15;9;ed1;stairs;1;1;0;0;
pair18;p38;16;2;cd2;attic;0;1;1;0;
pair19;p39;1;16;ep4;painting;1;1;1;0;
pair19;p40;2;5;cp1;room;0;1;0;0;
pair19;p39;3;10;ed2;sofa;0;0;1;1;
pair19;p40;4;3;cd3;mountains;1;1;1;0;
pair19;p39;5;13;ep1;window;1;0;1;1;
pair19;p40;6;4;cd4;countryside;0;0;0;0;
pair19;p39;7;11;ed3;tree;0;1;0;0;
pair19;p40;8;7;cp3;laboratory;0;1;0;0;
pair19;p39;9;15;ep3;coathanger;1;0;1;1;
pair19;p40;10;9;ed1;stairs;0;1;1;0;
pair19;p39;11;6;cp2;basement;0;1;0;0;
pair19;p40;12;2;cd2;attic;0;1;1;0;
pair19;p39;13;14;ep2;chair;0;0;1;1;
pair19;p40;14;12;ed4;carpet;0;1;0;0;
pair19;p39;15;8;cp4;city;0;1;0;0;
pair19;p40;16;1;cd1;house;0;1;0;0;
pair20;p41;1;9;ed1;stairs;0;1;0;0;
pair20;p42;2;15;ep3;coathanger;1;0;1;1;
pair20;p41;3;8;cp4;city;1;1;0;0;
pair20;p42;4;2;cd2;attic;1;1;1;0;
pair20;p41;5;10;ed2;sofa;0;0;1;1;
pair20;p42;6;13;ep1;window;1;1;1;0;
pair20;p41;7;7;cp3;laboratory;0;0;0;0;
pair20;p42;8;4;cd4;countryside;0;1;0;0;
pair20;p41;9;12;ed4;carpet;0;1;0;0;
pair20;p42;10;16;ep4;painting;1;0;1;1;
pair20;p41;11;5;cp1;room;0;1;1;0;
pair20;p42;12;3;cd3;mountains;1;0;0;0;
pair20;p41;13;11;ed3;tree;0;0;1;1;
pair20;p42;14;14;ep2;chair;1;0;1;1;
pair20;p41;15;6;cp2;basement;0;1;0;0;
pair20;p42;16;1;cd1;house;0;1;1;0;
pair21;p43;1;10;ed2;sofa;1;1;1;1;
pair21;p44;2;5;cp1;room;0;0;0;0;
pair21;p43;3;16;ep4;painting;1;0;1;1;
pair21;p44;4;3;cd3;mountains;1;1;1;1;
pair21;p43;5;11;ed3;tree;1;1;1;1;
pair21;p44;6;6;cp2;basement;1;1;0;0;
pair21;p43;7;13;ep1;window;1;1;1;0;
pair21;p44;8;1;cd1;house;0;1;0;0;
pair21;p43;9;9;ed1;stairs;1;1;0;0;
pair21;p44;10;15;ep3;coathanger;1;0;1;1;
pair21;p43;11;8;cp4;city;0;0;0;0;
pair21;p44;12;4;cd4;countryside;0;1;0;0;
pair21;p43;13;12;ed4;carpet;0;1;1;0;
pair21;p44;14;14;ep2;chair;1;0;1;1;
pair21;p43;15;7;cp3;laboratory;1;1;0;0;
pair21;p44;16;2;cd2;attic;0;1;1;1;
pair22;p45;1;11;ed3;tree;0;0;1;1;
pair22;p46;2;14;ep2;chair;1;1;0;0;
pair22;p45;3;7;cp3;laboratory;0;1;1;0;
pair22;p46;4;4;cd4;countryside;1;1;0;0;
pair22;p45;5;12;ed4;carpet;1;1;0;0;
pair22;p46;6;8;cp4;city;0;0;0;0;
pair22;p45;7;15;ep3;coathanger;0;0;1;1;
pair22;p46;8;2;cd2;attic;0;1;1;0;
pair22;p45;9;9;ed1;stairs;0;1;0;0;
pair22;p46;10;13;ep1;window;1;1;1;0;
pair22;p45;11;6;cp2;basement;0;1;1;0;
pair22;p46;12;1;cd1;house;0;1;0;0;
pair22;p45;13;10;ed2;sofa;0;1;0;0;
pair22;p46;14;16;ep4;painting;1;1;1;1;
pair22;p45;15;5;cp1;room;0;1;1;0;
pair22;p46;16;3;cd3;mountains;1;0;1;0;
pair23;p47;1;12;ed4;carpet;1;1;0;0;
pair23;p48;2;8;cp4;city;0;0;0;0;
pair23;p47;3;13;ep1;window;1;1;1;0;
pair23;p48;4;1;cd1;house;0;1;0;0;
pair23;p47;5;9;ed1;stairs;0;1;0;0;
pair23;p48;6;7;cp3;laboratory;0;1;0;0;
pair23;p47;7;14;ep2;chair;1;0;1;1;
pair23;p48;8;3;cd3;mountains;1;1;0;0;
pair23;p47;9;11;ed3;tree;0;1;0;0;
pair23;p48;10;16;ep4;painting;1;1;0;0;
pair23;p47;11;5;cp1;room;0;1;0;0;
pair23;p48;12;2;cd2;attic;0;1;1;0;
pair23;p47;13;10;ed2;sofa;1;1;0;0;
pair23;p48;14;15;ep3;coathanger;1;0;1;1;
pair23;p47;15;6;cp2;basement;1;1;0;0;
pair23;p48;16;4;cd4;countryside;0;1;0;0;
pair24;p49;1;5;cp1;room;0;1;1;0;
pair24;p50;2;11;ed3;tree;0;1;0;0;
pair24;p49;3;15;ep3;coathanger;1;1;0;0;
pair24;p50;4;2;cd2;attic;0;1;0;0;
pair24;p49;5;6;cp2;basement;0;1;0;0;
pair24;p50;6;9;ed1;stairs;1;1;0;0;
pair24;p49;7;16;ep4;painting;1;1;1;1;
pair24;p50;8;4;cd4;countryside;1;1;0;0;
pair24;p49;9;8;cp4;city;0;1;1;0;
pair24;p50;10;12;ed4;carpet;0;1;0;0;
pair24;p49;11;13;ep1;window;1;1;1;0;
pair24;p50;12;3;cd3;mountains;0;0;0;0;
pair24;p49;13;7;cp3;laboratory;0;1;0;0;
